2.7.1.90	R00764
3.5.99.6	R00765
2.4.1.14	R00766
2.7.1.11	R00767
2.6.1.16	R00768
2.7.1.11	R00769
2.7.1.11	R00770
5.3.1.9	R00771
5.3.1.8	R00772
6.3.4.6	R00774
3.5.3.2	R00775
4.3.2.3	R00776
3.5.3.14	R00777
4.2.1.69	R00778
4.4.1.1	R00782
4.4.1.13	R00782
4.4.1.28	R00782
1.7.2.1	R00783
1.7.2.1	R00784
1.7.2.1	R00785
1.7.1.4	R00787
1.7.1.15	R00787
1.7.1.4	R00789
1.7.7.1	R00790
1.7.7.2	R00791
1.9.6.1	R00792
1.7.1.1	R00794
1.7.1.2	R00794
1.7.1.2	R00796
1.7.1.3	R00796
1.7.99.-	R00798
1.7.3.1	R00799
3.2.1.10	R00801
3.2.1.20	R00801
3.2.1.26	R00801
3.2.1.48	R00801
3.2.1.20	R00802
3.2.1.26	R00802
3.2.1.48	R00802
2.4.1.7	R00803
3.1.3.23	R00804
3.1.3.24	R00805
2.4.1.13	R00806
1.1.99.13	R00807
1.1.99.13	R00808
2.4.1.167	R00809
5.4.99.11	R00810
2.7.1.211	R00811
1.3.1.19	R00812
1.3.1.25	R00813
1.3.1.20	R00814
1.14.13.7	R00815
1.13.11.2	R00816
1.13.11.1	R00817
1.14.13.1	R00818
4.1.1.46	R00821
4.1.1.63	R00822
1.14.12.1	R00823
1.14.12.1	R00825
2.1.1.6	R00827
1.14.13.31	R00828
2.3.1.16	R00829
2.3.1.174	R00829
2.3.1.37	R00830
2.3.1.109	R00832
5.4.99.2	R00833
1.1.1.200	R00834
1.1.1.49	R00835
1.1.1.363	R00835
2.4.1.15	R00836
3.2.1.93	R00837
3.2.1.122	R00837
3.2.1.122	R00838
3.2.1.86	R00839
3.1.3.21	R00841
1.1.1.8	R00842
1.1.1.94	R00842
1.1.1.94	R00844
1.1.1.177	R00845
1.1.3.21	R00846
2.7.1.30	R00847
1.1.5.3	R00848
1.1.5.3	R00849
2.7.1.142	R00850
2.3.1.15	R00851
2.4.1.137	R00853
2.4.1.96	R00854
3.6.1.16	R00855
2.7.7.39	R00856
3.1.4.46	R00857
1.8.1.2	R00858
1.8.7.1	R00859
1.8.99.2	R00860
1.8.1.22	R00861
4.1.1.12	R00863
1.1.2.2	R00865
2.7.1.3	R00866
2.7.1.1	R00867
2.7.1.4	R00867
1.1.1.11	R00868
1.1.1.67	R00868
1.1.1.138	R00870
1.1.1.124	R00871
3.1.3.-	R00872
1.1.5.14	R00873
1.1.99.28	R00874
1.1.1.14	R00875
1.1.1.15	R00875
2.7.1.1	R00876
5.3.1.7	R00877
5.3.1.5	R00878
3.2.1.80	R00879
1.1.1.132	R00880
3.6.1.21	R00881
3.6.1.-	R00881
2.7.7.22	R00883
2.7.7.13	R00885
2.4.1.-	R00887
4.2.1.47	R00888
5.1.3.18	R00889
2.4.1.-	R00890
4.2.1.22	R00891
1.8.1.6	R00892
1.13.11.20	R00893
6.3.2.2	R00894
2.6.1.1	R00895
2.6.1.3	R00895
2.6.1.1	R00896
2.5.1.47	R00897
2.5.1.65	R00897
3.4.11.1	R00899
3.4.11.2	R00899
3.4.11.23	R00899
3.4.13.-	R00899
1.8.1.9	R00900
1.8.1.10	R00900
4.4.1.10	R00901
5.1.1.10	R00903
1.2.1.3	R00904
1.2.1.5	R00904
1.2.1.19	R00904
3.5.1.6	R00905
1.5.1.26	R00906
2.6.1.18	R00907
2.6.1.19	R00908
2.6.1.55	R00908
2.6.1.120	R00908
3.5.1.21	R00909
6.3.2.11	R00910
3.4.13.4	R00911
6.3.2.11	R00912
3.5.3.17	R00913
2.8.3.-	R00914
2.3.1.94	R00918
1.3.1.84	R00919
1.3.1.-	R00919
6.2.1.13	R00920
2.3.1.8	R00921
2.3.1.222	R00921
1.2.1.27	R00922
4.1.1.-	R00923
6.2.1.1	R00925
6.2.1.17	R00925
6.2.1.1	R00926
6.2.1.17	R00926
2.3.1.9	R00927
2.3.1.16	R00927
2.8.3.1	R00928
2.1.3.1	R00930
2.3.3.5	R00931
2.3.3.11	R00932
4.1.3.24	R00934
1.2.1.27	R00935
1.5.1.3	R00936
1.5.1.3	R00937
1.5.1.3	R00939
1.5.1.3	R00940
1.5.1.6	R00941
6.3.2.17	R00942
6.3.4.3	R00943
3.5.1.10	R00944
2.1.2.1	R00945
2.1.1.13	R00946
3.1.3.10	R00947
2.7.7.27	R00948
2.7.1.10	R00949
3.6.1.21	R00951
2.4.1.20	R00952
2.4.1.31	R00953
2.7.7.34	R00954
2.7.7.12	R00955
2.7.7.33	R00956
2.4.1.139	R00957
5.4.2.2	R00959
5.4.2.5	R00959
2.7.1.41	R00960
3.6.1.5	R00961
3.6.1.6	R00961
3.6.1.64	R00961
3.1.3.5	R00963
3.1.3.-	R00963
2.7.1.48	R00964
2.7.1.213	R00964
4.1.1.23	R00965
2.4.2.9	R00966
2.7.1.48	R00968
3.6.1.17	R00969
4.1.1.66	R00973
3.5.4.1	R00974
1.3.3.7	R00975
1.17.99.4	R00976
1.3.1.1	R00977
1.3.1.2	R00978
1.14.13.35	R00980
6.2.1.32	R00982
1.13.11.23	R00983
2.1.1.111	R00984
4.1.3.27	R00985
4.1.3.27	R00986
3.7.1.3	R00987
3.5.1.9	R00988
2.3.1.113	R00989
4.1.1.24	R00990
1.2.3.-	R00993
1.1.1.85	R00994
4.1.1.112	R00995
4.3.1.19	R00996
3.5.99.7	R00997
2.3.3.6	R00998
2.5.1.48	R00999
1.1.1.27	R01000
4.4.1.1	R01001
3.1.3.51	R01003
3.6.1.43	R01004
2.4.1.117	R01005
3.1.4.48	R01006
2.7.8.15	R01007
2.4.1.153	R01008
2.4.1.83	R01009
3.1.3.1	R01010
3.1.3.2	R01010
2.7.1.29	R01011
2.7.1.121	R01012
2.3.1.42	R01013
4.1.2.2	R01014
5.3.1.1	R01015
4.2.3.3	R01016
2.7.1.108	R01018
1.2.5.2	R01019
2.7.1.32	R01021
1.1.3.17	R01022
2.3.1.6	R01023
1.1.99.1	R01025
3.1.1.7	R01026
3.1.1.8	R01026
2.8.2.6	R01027
3.1.6.6	R01028
3.1.1.8	R01029
3.1.4.2	R01030
3.1.4.46	R01030
4.5.1.2	R01031
1.14.12.13	R01033
1.1.1.6	R01034
1.1.1.21	R01036
1.1.1.72	R01036
1.1.1.156	R01039
1.1.1.2	R01041
1.1.1.21	R01041
1.1.1.72	R01041
1.1.1.372	R01041
3.1.3.19	R01043
2.7.1.79	R01044
1.1.99.22	R01045
4.2.1.30	R01047
2.7.6.1	R01049
2.7.1.18	R01050
2.7.1.15	R01051
2.7.7.35	R01052
6.3.4.7	R01053
3.6.1.13	R01054
3.6.1.21	R01054
3.6.1.53	R01054
3.6.1.-	R01054
4.2.1.70	R01055
5.3.1.6	R01056
5.4.2.2	R01057
5.4.2.7	R01057
1.2.1.9	R01058
1.2.1.90	R01058
2.7.1.28	R01059
1.2.1.12	R01061
1.2.1.59	R01061
1.2.1.13	R01063
1.2.1.59	R01063
4.1.2.21	R01064
4.1.2.55	R01064
4.1.2.4	R01066
2.2.1.1	R01067
4.1.2.13	R01068
4.1.2.40	R01069
4.1.2.13	R01070
2.4.2.17	R01071
2.4.2.14	R01072
2.4.2.18	R01073
6.2.1.11	R01074
6.3.4.9	R01074
6.3.4.10	R01074
6.3.4.11	R01074
6.2.1.11	R01075
3.5.1.12	R01077
2.8.1.6	R01078
1.1.1.115	R01079
3.2.2.3	R01080
3.2.2.8	R01080
5.3.1.20	R01081
4.2.1.2	R01082
4.3.2.2	R01083
3.7.1.5	R01085
3.7.1.20	R01085
4.3.2.1	R01086
5.2.1.1	R01087
1.4.1.9	R01088
2.3.1.66	R01089
2.6.1.6	R01090
2.6.1.42	R01090
2.6.1.67	R01090
5.4.3.7	R01091
2.7.1.6	R01092
1.1.1.21	R01093
1.1.1.48	R01094
1.1.1.21	R01095
1.1.1.48	R01096
1.1.1.120	R01096
1.1.1.359	R01096
1.1.1.360	R01096
1.1.1.48	R01097
1.1.1.120	R01097
1.1.3.9	R01098
1.1.3.9	R01099
3.2.1.23	R01100
3.2.1.108	R01100
3.2.1.22	R01101
3.2.1.22	R01103
3.2.1.22	R01104
